municipality,type,iata_code,latitude_deg,longitude_deg,iso_country
Comstock,small_airport,,41.5463981628418,-99.3311996459961,US
Milford,heliport,,42.815399169921875,-71.12439727783203,US
Berkeley Heights,closed,,40.668713,-74.410152,US
Raton,heliport,,36.862377,-104.442853,US
Clayton,heliport,,35.63027,-78.50392,US
Ruby Valley,small_airport,,40.58440017700195,-115.2979965209961,US
Riverhead,small_airport,,40.958308,-72.717326,US
Fremont,small_airport,,41.416933,-83.018339,US
Garfield Heights,heliport,,41.420312,-81.599552,US
Sapulpa,small_airport,,36.041259,-96.161517,US
Alex,small_airport,,35.012334,-97.702735,US
Troy,small_airport,,45.85540008544922,-117.48400115966797,US
Collegeville,heliport,,40.162899017333984,-75.4656982421875,US
Berwick,heliport,,41.066861,-76.180806,US
Bonner Springs,small_airport,,39.065947,-94.921703,US
Bellefonte,closed,,40.849998,-77.905602,US
Sandy,small_airport,,45.401798248291016,-122.22899627685547,US
Little River,heliport,,33.8650016784668,-78.66190338134766,US
Gay Hill,closed,,30.262699,-96.500198,US
Hebbronville,small_airport,,27.490812,-98.669615,US
Sevierville,heliport,,35.92250061035156,-83.57939910888672,US
San Angelo,heliport,,31.4658,-100.43397,US
Orchard,small_airport,,29.632117,-95.932481,US
Pearland,heliport,,29.580929,-95.30508,US
Mexican Hat,small_airport,,37.114384,-109.99014,US
Nokesville,closed,,38.66460037231445,-77.57969665527344,US
Spangle,small_airport,,47.408199310302734,-117.37200164794922,US
Berlin,small_airport,,44.028873,-88.883945,US
Goldendale,small_airport,,45.875,-120.66999816894531,US
Lopez Island,heliport,,48.524894,-122.912394,US
El Paso,heliport,,31.7574,-106.346895,US
Mertzon,small_airport,,31.318099975585938,-100.75399780273438,US
Soldotna,small_airport,,60.535833,-150.811387,US
Anniston,heliport,,33.62639999,-85.96720123,US
Benton,heliport,,34.574319,-92.586047,US
Chinle,closed,,36.147197,-109.560771,US
Palmdale,small_airport,,34.5639,-117.675003,US
Julian,small_airport,,33.08169937133789,-116.44100189208984,US
Harwinton,heliport,,41.75510025024414,-73.05239868164062,US
De Leon,closed,,32.098801,-98.525325,US
Homestead,small_airport,,25.558700561523438,-80.51509857177734,US
Brandon,heliport,,27.929372,-82.336981,US
Ormond Beach,small_airport,,29.240353,-81.222525,US
Columbus,small_airport,,39.91120147705078,-83.18879699707031,US
Packwood,small_airport,,41.08829879760742,-92.05460357666016,US
Emmett,small_airport,,43.877015,-116.538365,US
New Haven,closed,,41.1306,-84.994102,US
Hudson,small_airport,,40.6375007629,-89.0070037842,US
Angola,seaplane_base,,41.701389,-85.113056,US
Mansfield,small_airport,,40.1786003112793,-88.56900024414062,US
Lawrence,heliport,,38.97890090942383,-95.2197036743164,US
Hiseville,small_airport,,37.135101318359375,-85.78939819335938,US
Lutcher,heliport,,30.051001,-90.703848,US
West Dundee,small_airport,,42.13610076904297,-88.28759765625,US
Baton Rouge,heliport,,30.44610023498535,-91.10530090332031,US
Haverhill,small_airport,,42.810908,-71.140959,US
Chesapeake City,heliport,,39.51810073852539,-75.82140350341797,US
Mercer,small_airport,,44.66669845581055,-69.8938980102539,US
Eaton Rapids,small_airport,,42.53450012207031,-84.62830352783203,US
Kelliher,small_airport,,47.985801696777344,-94.68689727783203,US
Vandalia,small_airport,,39.30120086669922,-91.45149993896484,US
Rolling Fork,small_airport,,32.940537,-90.836683,US
Cohagen,small_airport,,47.13749777779999,-106.488095,US
Cary,heliport,,35.739200592,-78.7822036743,US
Sarben,small_airport,,41.159999847399995,-101.299003601,US
Elmer,small_airport,,39.596801757799994,-75.2334976196,US
Jacksonville,heliport,,34.775671,-77.392244,US
Sandy Valley,small_airport,,35.7555007935,-115.665000916,US
Hudson,small_airport,,42.262298584,-73.6961975098,US
Forest Grove,heliport,,45.530833,-123.085556,US
Garrettsville,closed,,41.2477,-81.100701,US
Stillwater,heliport,,36.1152992249,-97.079498291,US
Mitchell,small_airport,,44.7499008179,-120.200996399,US
Philadelphia,heliport,,39.87929916379999,-75.2287979126,US
Exton,heliport,,40.0306619,-75.63021,US
Easley,heliport,,34.842188,-82.60714,US
Eagle Butte,heliport,,44.993124,-101.243011,US
Austin,closed,,30.270262,-97.745275,US
Houston,heliport,,29.699687,-95.39069,US
Chuckey,small_airport,,36.183300018299995,-82.67890167239999,US
Round Rock,heliport,,30.553284,-97.605358,US
Utopia,small_airport,,29.713072,-99.545642,US
China Spring,small_airport,,31.732779,-97.369326,US
Navajo Mountain,small_airport,,37.006689,-110.794701,US
Saguache,small_airport,,38.0990833,-106.1743889,US
Lebanon,heliport,,36.898,-82.078,US
Manquin,small_airport,,37.706546,-77.201621,US
Cabot,small_airport,,44.4011001587,-72.26360321039999,US
Hinckley,small_airport,,46.0228,-92.895401,US
Spokane,small_airport,,47.581795,-117.437131,US
Bristol,small_airport,,42.523399353,-88.0167007446,US
Royal City,small_airport,,46.95835,-119.63864,US
Morgantown,heliport,,39.6536111111,-79.9561111111,US
Jermyn,small_airport,,33.283933,-98.402861,US
